title,season,schedule,placeName,placeLink,duration,classification/image,image,placeTitle,address,price,placeSeats,Valor do show (80%)
Vem com o Pai - Bruno Ferreira,Dia 7 de Maio (domingo),"Domingo, às 20h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Lilith Comedy Club",https://www.sampaingressos.com.br/local/Lilith%20Comedy%20Club__2780,70 minutos.,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123875.jpg,Lilith Comedy Club,"Av. Professor Luiz Ignácio Anhaia Mello, 1506 - Vila Prudente","R$ 15,00",50,"R$ 600,00"
Matinê Show - Standup Comedy,Dia 21 de Maio (domingo),"Domingo, às 19h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_124024.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 20,00",100,"R$ 1.600,00"
Soco no Zóio,Sessão única hoje (quinta),às 20h30.,"<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Um Show Comedy Guarulhos",https://www.sampaingressos.com.br/local/Um%20Show%20Comedy%20Guarulhos__2927,70 minutos.,https://www.sampaingressos.com.br/templates/images/18anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123900.jpg,Um Show Comedy Guarulhos,"Rua Anice 242, Guarulhos - Santa Mena","R$ 40,00",250,"R$ 8.000,00"
Comédia Standelas,Dia 28 de Abril (sexta),"Sexta, às 20h30.","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Um Show Comedy Guarulhos",https://www.sampaingressos.com.br/local/Um%20Show%20Comedy%20Guarulhos__2927,70 minutos.,https://www.sampaingressos.com.br/templates/images/18anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123901.jpg,Um Show Comedy Guarulhos,"Rua Anice 242, Guarulhos - Santa Mena","R$ 40,00",250,"R$ 8.000,00"
Antes Só do que Mal Casado,Estreia dia 6 de Maio (sábado). até 24 de Junho,"Sábados, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Teatro Raposo Shopping",https://www.sampaingressos.com.br/local/Teatro%20Raposo%20Shopping__1882,"<img width=""18"" src=""/templates/images/14anos.svg"" class=""img_classificacao"">14 anos",https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123903.jpg,Teatro Raposo Shopping (252 lugares),"Rodovia Raposo Tavares, km 14,5 - Sala Irene Ravache - Piso Cinema - Jd. Boa Vista","R$ 29,00",252,"R$ 5.846,40"
Em Pé Na Rede em Guarulhos,Dia 4 de Maio (quinta),às 20h30.,"<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Um Show Comedy Guarulhos",https://www.sampaingressos.com.br/local/Um%20Show%20Comedy%20Guarulhos__2927,70 minutos.,https://www.sampaingressos.com.br/templates/images/18anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123906.jpg,Um Show Comedy Guarulhos,"Rua Anice 242, Guarulhos - Santa Mena","R$ 40,00",250,"R$ 8.000,00"
Evandro em: Nunca Fui Santo,Dia 20 de Maio (sábado),"Sábado, às 22h30","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Teatro Gazeta",https://www.sampaingressos.com.br/local/Teatro%20Gazeta__28,"<img width=""18"" src=""/templates/images/16anos.svg"" class=""img_classificacao"">16 anos",https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123936.png,Teatro Gazeta (700 lugares),"Avenida Paulista, 900 - Térreo (Próximo da estação Trianon-Masp do Metrô) - Cerqueira César","R$ 40,00",700,"R$ 22.400,00"
Rafael Cortez Stand-up Comedy na Zona Norte,Dia 26 de Maio (sexta),"Sexta, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Teatro Sir Isaac Newton",https://www.sampaingressos.com.br/local/Teatro%20Sir%20Isaac%20Newton__2053,80 minutos,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123959.jpg,Teatro Sir Isaac Newton,"Avenida Julio Buono, 2407 - Vila Gustavo","R$ 29,90",550,"R$ 13.156,00"
Doidas e Divas - Standup Comedy,Dia 4 de Maio (quinta),"Quinta, às 21h30","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123932.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 20,00",100,"R$ 1.600,00"
Pritelo - To Quase Lá,Dia 12 de Maio (sexta),"Sexta, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,80 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123933.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 20,00",100,"R$ 1.600,00"
